"INTERSECTION","FIRST APPROACH","SECOND APPROACH","THIRD APPROACH","GO LIVE DATE","LATITUDE","LONGITUDE","LOCATION"
"1200 South Pulaski Road","NB",,,"07/15/2009","41.86586","-87.72508","(41.86586, -87.72508)"
"4000 North Pulaski Road","SB",,,"05/18/2009","41.95398","-87.72769","(41.95398, -87.72769)"
"1 S. Western Ave","NB",,,"05/30/2004","41.88092","-87.68626","(41.88092, -87.68626)"
"1600 West Cortland St","EB",,,"02/25/2006","41.91607","-87.66832","(41.91607, -87.66832)"
"9500 South Jeffery Ave","SB",,,"11/25/2007","41.72281","-87.57541","(41.72281, -87.57541)"
"3500 S. Western","SB",,,"10/10/2004","41.83059","-87.68515","(41.83059, -87.68515)"
"500 North Columbus Drive","SB",,,"10/27/2010","41.89073","-87.62014","(41.89073, -87.62014)"
"500 West Roosevelt Road","WB",,,"11/29/2008","41.86737","-87.6387","(41.86737, -87.6387)"
"500 North Columbus Drive","NB",,,"10/27/2010","41.89121","-87.62023","(41.89121, -87.62023)"
"3600 North Western Avenue","SB",,,"06/06/2009","41.94652","-87.68803","(41.94652, -87.68803)"
"100 North Cicero Avenue","NB",,,"06/13/2008","41.88216","-87.74545","(41.88216, -87.74545)"
"6700 South Western Avenue","SB",,,"11/28/2008","41.77225","-87.68358","(41.77225, -87.68358)"
"1200 S. Kostner","NB",,,"03/16/2004","41.86578","-87.73486","(41.86578, -87.73486)"
"5200 West Irving Park Road","WB",,,"01/26/2010","41.95338","-87.75672","(41.95338, -87.75672)"
"2000 West Division","WB",,,"12/28/2009","41.90323","-87.67686","(41.90323, -87.67686)"
"6400 North Western Avenue","SB",,,"07/30/2008","41.99803","-87.68997","(41.99803, -87.68997)"
"5200 South Cicero Ave","NB",,,"11/11/2007","41.79817","-87.74373","(41.79817, -87.74373)"
"3200 West 63rd St","WB",,,"11/25/2007","41.77903","-87.70277","(41.77903, -87.70277)"
"800 West 111th St","WB",,,"12/31/2005","41.69254","-87.64193","(41.69254, -87.64193)"
"3100 S Dr Martin L King","NB",,,"06/20/2008","41.83813","-87.61723","(41.83813, -87.61723)"
"4800 N Pulaski Road","SB",,,"07/29/2008","41.96852","-87.72811","(41.96852, -87.72811)"
"6300 South Damen Avenue","SB",,,"05/30/2008","41.77954","-87.67397","(41.77954, -87.67397)"
"4400 W. Roosevelt","EB",,,"03/17/2004","41.86595","-87.73539","(41.86595, -87.73539)"
"7200 North Western Avenue","SB",,,"10/20/2008","42.0126","-87.69031","(42.0126, -87.69031)"
"2200 S. Pulaski","SB",,,"10/09/2004","41.85195","-87.72489","(41.85195, -87.72489)"
"100 West Chicago Avenue","EB",,,"10/20/2010","41.89667","-87.63101","(41.89667, -87.63101)"
"2400 North Pulaski Rd","NB",,,"05/17/2007","41.92416","-87.72677","(41.92416, -87.72677)"
"2400 West Chicago Ave","EB",,,"05/06/2007","41.8957","-87.68737","(41.8957, -87.68737)"
"1 North Halsted Street","SB",,,"06/13/2008","41.88207","-87.64748","(41.88207, -87.64748)"
"5200 North Sheridan Road","SB",,,"01/24/2008","41.97666","-87.65504","(41.97666, -87.65504)"
"300 North Hamlin Avenue","NB",,,"05/29/2008","41.88494","-87.72081","(41.88494, -87.72081)"
"1000 West Hollywood Ave","WB",,,"10/17/2007","41.98561","-87.65477","(41.98561, -87.65477)"
"4700 West Irving Park Road","WB",,,"10/20/2008","41.95356","-87.74428","(41.95356, -87.74428)"
"6300 South Damen Avenue","NB",,,"05/30/2008","41.77903","-87.67381","(41.77903, -87.67381)"
"2400 West Van Buren Street","WB",,,"05/28/2008","41.87617","-87.68575","(41.87617, -87.68575)"
"2400 W. Madison","WB",,,"05/31/2004","41.88125","-87.68591","(41.88125, -87.68591)"
"800 West Roosevelt Road","WB",,,"06/12/2008","41.86728","-87.64644","(41.86728, -87.64644)"
"6000 North California Avenue","NB",,,"06/27/2009","41.99013","-87.69936","(41.99013, -87.69936)"
"1200 North Ashland Avenue","NB",,,"10/23/2007","41.90305","-87.66736","(41.90305, -87.66736)"
"3400 West North Ave","EB",,,"10/04/2007","41.91002","-87.7121","(41.91002, -87.7121)"
"7600 South Stony Island Avenue","SB",,,"11/29/2008","41.75717","-87.58617","(41.75717, -87.58617)"
"3200 West 79th St","EB",,,"01/09/2006","41.74964","-87.70275","(41.74964, -87.70275)"
"2400 West Lawrence Avenue","EB",,,"07/30/2008","41.96856","-87.68937","(41.96856, -87.68937)"
"4000 West Irving Park Rd","WB",,,"05/18/2009","41.95372","-87.72724","(41.95372, -87.72724)"
"1000 West Hollywood Ave","EB",,,"10/16/2007","41.98548","-87.65564","(41.98548, -87.65564)"
"7432 West Touhy Avenue","WB",,,"10/20/2008","42.01161","-87.81185","(42.01161, -87.81185)"
"5500 South Wentworth Avenue","NB",,,"05/06/2008","41.79383","-87.63034","(41.79383, -87.63034)"
"3200 North Central Avenue","SB",,,"02/03/2009","41.93893","-87.76666","(41.93893, -87.76666)"
"4000 West Armitage Avenue","EB",,,"05/30/2008","41.91713","-87.72678","(41.91713, -87.72678)"
"4000 West 63rd St","EB",,,"03/30/2007","41.7786","-87.72325","(41.7786, -87.72325)"
